domain,url,discovery_source,risk_score,risk_level,investigated_at
customer-service.casinomaxi9109.com,http://customer-service.casinomaxi9109.com,keyword_match,77,HIGH,2026-07-26 10:16:51.509493+00:00
263a8c0e-8e3b-4781-b5b6-988c3c72075b.1xbet-zyjf.top,http://263a8c0e-8e3b-4781-b5b6-988c3c72075b.1xbet-zyjf.top,keyword_match,76,HIGH,2026-07-26 16:13:03.410972+00:00
girl-sweet-bonanza-sound-pinco-ru.pu550ev.com,http://girl-sweet-bonanza-sound-pinco-ru.pu550ev.com,keyword_match,74,HIGH,2026-07-26 16:52:17.364410+00:00
slot-santas-great-gifts-pinco.pu550ev.com,http://slot-santas-great-gifts-pinco.pu550ev.com,keyword_match,74,HIGH,2026-07-26 13:08:32.235563+00:00
www.pincorus757casinooo.com,http://www.pincorus757casinooo.com,keyword_match,74,HIGH,2026-07-26 09:57:19.981794+00:00
big-wheel-multislot-pinco-kz.pu550ev.com,http://big-wheel-multislot-pinco-kz.pu550ev.com,keyword_match,72,HIGH,2026-07-26 13:32:48.721614+00:00
big-wheel-multislot-pinco-az.pu550ev.com,http://big-wheel-multislot-pinco-az.pu550ev.com,keyword_match,72,HIGH,2026-07-26 16:19:27.862616+00:00
onlinecasino-todoensanche-com-7090279e.pages.dev,http://onlinecasino-todoensanche-com-7090279e.pages.dev,keyword_match,72,HIGH,2026-07-26 13:31:07.155110+00:00
fires-joker-wheel-pinco-kz.pu550ev.com,http://fires-joker-wheel-pinco-kz.pu550ev.com,keyword_match,71,HIGH,2026-07-26 16:49:21.648488+00:00
vavada-casinopl-ink-a638e36d.pages.dev,http://vavada-casinopl-ink-a638e36d.pages.dev,keyword_match,71,HIGH,2026-07-26 12:18:16.380038+00:00
form-gates-of-olympus-sfx-pinco-tr.pu550ev.com,http://form-gates-of-olympus-sfx-pinco-tr.pu550ev.com,keyword_match,70,HIGH,2026-07-26 12:55:26.203747+00:00
pinco.casino6534.buzz,http://pinco.casino6534.buzz,keyword_match,69,HIGH,2026-07-26 09:38:09.276322+00:00
form-girl-b2b-pinco-kz-kz-kk.pu550ev.com,http://form-girl-b2b-pinco-kz-kz-kk.pu550ev.com,keyword_match,68,HIGH,2026-07-26 17:08:08.303575+00:00
www.1xbet-36921.ru,http://www.1xbet-36921.ru,keyword_match,67,HIGH,2026-07-26 11:32:20.283773+00:00
www.1xbet-52784.ru,http://www.1xbet-52784.ru,keyword_match,67,HIGH,2026-07-26 11:31:16.810014+00:00
602vulkanvegas838.com,http://602vulkanvegas838.com,keyword_match,67,HIGH,2026-07-26 11:46:16.447653+00:00
www.1xbet-81465.ru,http://www.1xbet-81465.ru,keyword_match,67,HIGH,2026-07-26 11:34:12.281435+00:00
